"Plot Title: 20160401_-_2.5_m_-_Bethel"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 20160401, SEN S/N: 20160401)","Intensity, lum/ft² (LGR S/N: 20160401, SEN S/N: 20160401)","Coupler Attached (LGR S/N: 20160401)","Stopped (LGR S/N: 20160401)","End Of File (LGR S/N: 20160401)"
1,02/28/24 12:00:00 PM,14.900,168.0,,,
2,02/28/24 01:00:00 PM,14.996,216.0,,,
3,02/28/24 02:00:00 PM,15.187,216.0,,,
4,02/28/24 03:00:00 PM,15.187,91.0,,,
5,02/28/24 04:00:00 PM,15.187,84.0,,,
6,02/28/24 05:00:00 PM,15.091,61.0,,,
7,02/28/24 06:00:00 PM,14.996,29.0,,,
8,02/28/24 07:00:00 PM,14.804,8.0,,,
9,02/28/24 08:00:00 PM,14.804,7.0,,,
10,02/28/24 09:00:00 PM,14.709,6.0,,,
11,02/28/24 10:00:00 PM,14.517,6.0,,,
12,02/28/24 11:00:00 PM,14.517,6.0,,,
13,02/29/24 12:00:00 AM,14.421,6.0,,,
14,02/29/24 01:00:00 AM,14.325,5.0,,,
15,02/29/24 02:00:00 AM,14.134,5.0,,,
16,02/29/24 03:00:00 AM,14.134,5.0,,,
17,02/29/24 04:00:00 AM,14.038,5.0,,,
18,02/29/24 05:00:00 AM,13.846,4.0,,,
19,02/29/24 06:00:00 AM,13.750,4.0,,,
20,02/29/24 07:00:00 AM,13.750,4.0,,,
21,02/29/24 08:00:00 AM,13.654,8.0,,,
22,02/29/24 09:00:00 AM,13.654,26.0,,,
23,02/29/24 10:00:00 AM,13.846,59.0,,,
24,02/29/24 11:00:00 AM,13.942,78.0,,,
25,02/29/24 12:00:00 PM,14.230,136.0,,,
26,02/29/24 01:00:00 PM,14.421,128.0,,,
27,02/29/24 02:00:00 PM,14.996,176.0,,,
28,02/29/24 03:00:00 PM,15.091,168.0,,,
29,02/29/24 04:00:00 PM,15.282,118.0,,,
30,02/29/24 05:00:00 PM,15.187,96.0,,,
31,02/29/24 06:00:00 PM,15.091,42.0,,,
32,02/29/24 07:00:00 PM,14.900,5.0,,,
33,02/29/24 08:00:00 PM,14.900,4.0,,,
34,02/29/24 09:00:00 PM,14.804,4.0,,,
35,02/29/24 10:00:00 PM,14.517,4.0,,,
36,02/29/24 11:00:00 PM,14.421,3.0,,,
37,03/01/24 12:00:00 AM,14.325,3.0,,,
38,03/01/24 01:00:00 AM,14.230,3.0,,,
39,03/01/24 02:00:00 AM,14.134,3.0,,,
40,03/01/24 03:00:00 AM,14.038,3.0,,,
41,03/01/24 04:00:00 AM,13.942,3.0,,,
42,03/01/24 05:00:00 AM,13.942,2.0,,,
43,03/01/24 06:00:00 AM,13.846,2.0,,,
44,03/01/24 07:00:00 AM,13.750,2.0,,,
45,03/01/24 08:00:00 AM,13.750,6.0,,,
46,03/01/24 09:00:00 AM,13.750,20.0,,,
47,03/01/24 10:00:00 AM,13.846,54.0,,,
48,03/01/24 11:00:00 AM,14.038,65.0,,,
49,03/01/24 12:00:00 PM,14.325,152.0,,,
50,03/01/24 01:00:00 PM,14.325,98.0,,,
