Plot Title: 20160424_-_1.5_m_-_Bethel,,,,,,,
#,"Date Time, GMT-05:00","Temp, °C (LGR S/N: 20160424, SEN S/N: 20160424, LBL: Degrees Celsius)","Intensity, lum/ft² (LGR S/N: 20160424, SEN S/N: 20160424)",Good Battery (LGR S/N: 20160424),Coupler Attached (LGR S/N: 20160424),Stopped (LGR S/N: 20160424),End Of File (LGR S/N: 20160424)
1,6/20/2024 12:00,30.76,58,,,,
2,6/20/2024 13:00,30.659,57,,,,
3,6/20/2024 14:00,30.558,65,,,,
4,6/20/2024 15:00,30.558,68,,,,
5,6/20/2024 16:00,30.558,49,,,,
6,6/20/2024 17:00,30.457,53,,,,
7,6/20/2024 18:00,30.457,35,,,,
8,6/20/2024 19:00,30.356,16,,,,
9,6/20/2024 20:00,30.356,1,,,,
10,6/20/2024 21:00,30.457,0,,,,
11,6/20/2024 22:00,30.356,0,,,,
12,6/20/2024 23:00,30.356,0,,,,
13,6/21/2024 0:00,30.356,0,,,,
14,6/21/2024 1:00,30.356,0,,,,
15,6/21/2024 2:00,30.356,0,,,,
16,6/21/2024 3:00,30.356,0,,,,
17,6/21/2024 4:00,30.255,0,,,,
18,6/21/2024 5:00,30.457,0,,,,
19,6/21/2024 6:00,30.356,0,,,,
20,6/21/2024 7:00,30.356,1,,,,
21,6/21/2024 8:00,30.356,16,,,,
22,6/21/2024 9:00,30.356,56,,,,
23,6/21/2024 10:00,30.457,55,,,,
24,6/21/2024 11:00,30.356,29,,,,
25,6/21/2024 12:00,30.457,28,,,,
26,6/21/2024 13:00,30.76,63,,,,
27,6/21/2024 14:00,30.659,28,,,,
28,6/21/2024 15:00,30.862,52,,,,
29,6/21/2024 16:00,31.064,42,,,,
30,6/21/2024 17:00,30.862,46,,,,
31,6/21/2024 18:00,30.862,16,,,,
32,6/21/2024 19:00,30.76,8,,,,
33,6/21/2024 20:00,30.659,1,,,,
34,6/21/2024 21:00,30.659,0,,,,
35,6/21/2024 22:00,30.659,0,,,,
36,6/21/2024 23:00,30.659,0,,,,
37,6/22/2024 0:00,30.659,0,,,,
38,6/22/2024 1:00,30.659,0,,,,
39,6/22/2024 2:00,30.76,0,,,,
40,6/22/2024 3:00,30.659,0,,,,
41,6/22/2024 4:00,30.558,0,,,,
42,6/22/2024 5:00,30.457,0,,,,
43,6/22/2024 6:00,30.255,0,,,,
44,6/22/2024 7:00,30.154,3,,,,
45,6/22/2024 8:00,30.154,12,,,,
46,6/22/2024 9:00,30.356,27,,,,
47,6/22/2024 10:00,30.356,23,,,,
48,6/22/2024 11:00,30.558,58,,,,
49,6/22/2024 12:00,30.558,54,,,,
50,6/22/2024 13:00,30.457,34,,,,
51,6/22/2024 14:00,30.659,68,,,,
52,6/22/2024 15:00,30.558,34,,,,
53,6/22/2024 16:00,30.659,44,,,,
54,6/22/2024 17:00,30.659,57,,,,
55,6/22/2024 18:00,30.558,38,,,,
56,6/22/2024 19:00,30.659,13,,,,
57,6/22/2024 20:00,30.558,1,,,,
58,6/22/2024 21:00,30.558,0,,,,
59,6/22/2024 22:00,30.558,0,,,,
60,6/22/2024 23:00,30.558,0,,,,
61,6/23/2024 0:00,30.558,0,,,,
62,6/23/2024 1:00,30.76,0,,,,
63,6/23/2024 2:00,30.659,0,,,,
64,6/23/2024 3:00,30.457,0,,,,
65,6/23/2024 4:00,30.356,0,,,,
66,6/23/2024 5:00,30.255,0,,,,
67,6/23/2024 6:00,30.154,0,,,,
68,6/23/2024 7:00,30.054,7,,,,
69,6/23/2024 8:00,29.953,8,,,,
70,6/23/2024 9:00,30.054,32,,,,
71,6/23/2024 10:00,30.154,40,,,,
72,6/23/2024 11:00,30.255,45,,,,
73,6/23/2024 12:00,30.457,65,,,,
74,6/23/2024 13:00,30.457,63,,,,
75,6/23/2024 14:00,30.558,59,,,,
76,6/23/2024 15:00,30.862,60,,,,
77,6/23/2024 16:00,30.659,47,,,,
78,6/23/2024 17:00,30.659,45,,,,
79,6/23/2024 18:00,30.558,36,,,,
80,6/23/2024 19:00,30.558,18,,,,
81,6/23/2024 20:00,30.558,1,,,,
82,6/23/2024 21:00,30.457,0,,,,
83,6/23/2024 22:00,30.457,0,,,,
84,6/23/2024 23:00,30.558,0,,,,
85,6/24/2024 0:00,30.558,0,,,,
86,6/24/2024 1:00,30.558,0,,,,
87,6/24/2024 2:00,30.558,0,,,,
88,6/24/2024 3:00,30.457,0,,,,
89,6/24/2024 4:00,30.457,0,,,,
90,6/24/2024 5:00,30.558,0,,,,
91,6/24/2024 6:00,30.457,0,,,,
92,6/24/2024 7:00,30.356,4,,,,
93,6/24/2024 8:00,30.457,20,,,,
94,6/24/2024 9:00,30.558,32,,,,
95,6/24/2024 10:00,30.659,35,,,,
96,6/24/2024 11:00,30.76,46,,,,
97,6/24/2024 12:00,30.862,53,,,,
98,6/24/2024 13:00,31.064,64,,,,
99,6/24/2024 14:00,31.064,66,,,,
100,6/24/2024 15:00,30.963,73,,,,
101,6/24/2024 16:00,31.166,41,,,,
102,6/24/2024 17:00,31.166,31,,,,
103,6/24/2024 18:00,31.064,19,,,,
104,6/24/2024 19:00,31.064,9,,,,
105,6/24/2024 20:00,30.963,1,,,,
106,6/24/2024 21:00,30.862,0,,,,
107,6/24/2024 22:00,30.862,0,,,,
108,6/24/2024 23:00,30.862,0,,,,
109,6/25/2024 0:00,30.862,0,,,,
110,6/25/2024 1:00,30.862,0,,,,
111,6/25/2024 2:00,30.862,0,,,,
112,6/25/2024 3:00,30.862,0,,,,
113,6/25/2024 4:00,30.862,0,,,,
114,6/25/2024 5:00,30.963,0,,,,
115,6/25/2024 6:00,31.064,0,,,,
116,6/25/2024 7:00,31.064,14,,,,
117,6/25/2024 8:00,30.963,16,,,,
118,6/25/2024 9:00,31.064,45,,,,
119,6/25/2024 10:00,31.268,64,,,,
120,6/25/2024 11:00,31.064,76,,,,
121,6/25/2024 12:00,31.268,74,,,,
122,6/25/2024 13:00,31.37,76,,,,
123,6/25/2024 14:00,31.268,40,,,,
124,6/25/2024 15:00,31.37,19,,,,
125,6/25/2024 16:00,31.676,57,,,,
126,6/25/2024 17:00,31.574,9,,,,
127,6/25/2024 18:00,31.268,0,,,,
128,6/25/2024 19:00,31.778,0,,,,
129,6/25/2024 20:00,31.778,4,,,,
130,6/25/2024 21:00,31.574,0,,,,
131,6/25/2024 22:00,31.472,0,,,,
132,6/25/2024 23:00,31.268,0,,,,
133,6/26/2024 0:00,31.166,0,,,,
134,6/26/2024 1:00,30.963,0,,,,
135,6/26/2024 2:00,30.76,0,,,,
136,6/26/2024 3:00,30.558,0,,,,
137,6/26/2024 4:00,30.255,0,,,,
138,6/26/2024 5:00,30.054,0,,,,
139,6/26/2024 6:00,29.853,0,,,,
140,6/26/2024 7:00,29.752,0,,,,
141,6/26/2024 8:00,29.652,3,Logged,,,
142,6/26/2024 9:00,29.552,6,,,,
143,6/26/2024 10:00,29.752,51,,,,
144,6/26/2024 11:00,29.652,47,,,,
145,6/26/2024 12:00,29.953,63,,,,
146,6/26/2024 13:00,29.953,61,,,,
147,6/26/2024 14:00,29.853,14,,,,
148,6/26/2024 15:00,30.054,15,,,,
149,6/26/2024 16:00,30.255,46,,,,
150,6/26/2024 17:00,30.255,39,,,,
151,6/26/2024 18:00,30.054,22,,,,
