Plot Title: 20316864_-_0.5_m_-_Bethel,,,,,,
#,"Date Time, GMT-05:00","Temp, °C (LGR S/N: 20316863, SEN S/N: 20316863)","Intensity, lum/ft² (LGR S/N: 20316863, SEN S/N: 20316863)",Coupler Attached (LGR S/N: 20316863),Stopped (LGR S/N: 20316863),End Of File (LGR S/N: 20316863)
1,6/20/2024 12:00,26,184,,,
2,6/20/2024 13:00,25.416,208,,,
3,6/20/2024 14:00,25.902,200,,,
4,6/20/2024 15:00,25.61,176,,,
5,6/20/2024 16:00,25.61,144,,,
6,6/20/2024 17:00,25.61,74,,,
7,6/20/2024 18:00,26.195,39,,,
8,6/20/2024 19:00,25.708,17,,,
9,6/20/2024 20:00,25.805,2,,,
10,6/20/2024 21:00,25.708,0,,,
11,6/20/2024 22:00,25.708,0,,,
12,6/20/2024 23:00,25.708,0,,,
13,6/21/2024 0:00,26,0,,,
14,6/21/2024 1:00,25.805,0,,,
15,6/21/2024 2:00,25.902,0,,,
16,6/21/2024 3:00,25.708,0,,,
17,6/21/2024 4:00,25.902,0,,,
18,6/21/2024 5:00,25.805,0,,,
19,6/21/2024 6:00,25.902,2,,,
20,6/21/2024 7:00,25.902,4,,,
21,6/21/2024 8:00,25.805,40,,,
22,6/21/2024 9:00,25.902,101,,,
23,6/21/2024 10:00,25.805,100,,,
24,6/21/2024 11:00,26.195,63,,,
25,6/21/2024 12:00,25.61,61,,,
26,6/21/2024 13:00,26.195,184,,,
27,6/21/2024 14:00,25.708,67,,,
28,6/21/2024 15:00,26.292,168,,,
29,6/21/2024 16:00,25.805,119,,,
30,6/21/2024 17:00,26.292,106,,,
31,6/21/2024 18:00,26,40,,,
32,6/21/2024 19:00,26.195,16,,,
33,6/21/2024 20:00,26.195,2,,,
34,6/21/2024 21:00,26.195,0,,,
35,6/21/2024 22:00,26,0,,,
36,6/21/2024 23:00,26.097,0,,,
37,6/22/2024 0:00,26.195,0,,,
38,6/22/2024 1:00,26.195,0,,,
39,6/22/2024 2:00,26.195,0,,,
40,6/22/2024 3:00,26.097,0,,,
41,6/22/2024 4:00,26.195,0,,,
42,6/22/2024 5:00,26.097,0,,,
43,6/22/2024 6:00,26.195,0,,,
44,6/22/2024 7:00,26.292,6,,,
45,6/22/2024 8:00,26.097,24,,,
46,6/22/2024 9:00,26.195,54,,,
47,6/22/2024 10:00,26.195,49,,,
48,6/22/2024 11:00,26.195,126,,,
49,6/22/2024 12:00,26.585,136,,,
50,6/22/2024 13:00,26.488,72,,,
51,6/22/2024 14:00,26.195,168,,,
52,6/22/2024 15:00,25.902,64,,,
53,6/22/2024 16:00,26.781,90,,,
54,6/22/2024 17:00,26,57,,,
55,6/22/2024 18:00,26.683,45,,,
56,6/22/2024 19:00,26.39,16,,,
57,6/22/2024 20:00,26.585,1,,,
58,6/22/2024 21:00,26.39,0,,,
59,6/22/2024 22:00,26.292,0,,,
60,6/22/2024 23:00,26.39,0,,,
61,6/23/2024 0:00,26.195,0,,,
62,6/23/2024 1:00,26.39,0,,,
63,6/23/2024 2:00,26.292,0,,,
64,6/23/2024 3:00,26.488,0,,,
65,6/23/2024 4:00,26.195,0,,,
66,6/23/2024 5:00,26.488,0,,,
67,6/23/2024 6:00,26.292,0,,,
68,6/23/2024 7:00,26.39,7,,,
69,6/23/2024 8:00,26.39,11,,,
70,6/23/2024 9:00,26.292,33,,,
71,6/23/2024 10:00,26.292,48,,,
72,6/23/2024 11:00,26.488,72,,,
73,6/23/2024 12:00,26.488,103,,,
74,6/23/2024 13:00,26.195,100,,,
75,6/23/2024 14:00,26.488,108,,,
76,6/23/2024 15:00,26.585,101,,,
77,6/23/2024 16:00,26.683,74,,,
78,6/23/2024 17:00,26.977,49,,,
79,6/23/2024 18:00,26.781,32,,,
80,6/23/2024 19:00,26.683,12,,,
81,6/23/2024 20:00,26.683,0,,,
82,6/23/2024 21:00,26.683,0,,,
83,6/23/2024 22:00,26.488,0,,,
84,6/23/2024 23:00,26.683,0,,,
85,6/24/2024 0:00,26.585,0,,,
86,6/24/2024 1:00,26.585,0,,,
87,6/24/2024 2:00,26.585,0,,,
88,6/24/2024 3:00,26.585,0,,,
89,6/24/2024 4:00,26.488,0,,,
90,6/24/2024 5:00,26.488,0,,,
91,6/24/2024 6:00,26.488,0,,,
92,6/24/2024 7:00,26.683,6,,,
93,6/24/2024 8:00,26.488,26,,,
94,6/24/2024 9:00,26.683,46,,,
95,6/24/2024 10:00,26.488,59,,,
96,6/24/2024 11:00,26.683,79,,,
97,6/24/2024 12:00,26.195,102,,,
98,6/24/2024 13:00,26.683,144,,,
99,6/24/2024 14:00,26.683,128,,,
100,6/24/2024 15:00,26.683,119,,,
101,6/24/2024 16:00,26.879,104,,,
102,6/24/2024 17:00,26.781,60,,,
103,6/24/2024 18:00,26.683,36,,,
