Plot Title: 20408798 - 2.0 m - Bethel,,,,,,,
#,"Date Time, GMT-05:00","Temp, °C (LGR S/N: 20408798, SEN S/N: 20408798)","Intensity, lum/ft² (LGR S/N: 20408798, SEN S/N: 20408798)",Coupler Attached (LGR S/N: 20408798),Coupler Detached (LGR S/N: 20408798),Stopped (LGR S/N: 20408798),End Of File (LGR S/N: 20408798)
1,6/20/2024 12:00,31.268,184,,,,
2,6/20/2024 13:00,31.166,208,,,,
3,6/20/2024 14:00,31.37,208,,,,
4,6/20/2024 15:00,31.472,336,,,,
5,6/20/2024 16:00,31.574,512,,,,
6,6/20/2024 17:00,31.574,256,,,,
7,6/20/2024 18:00,31.676,272,,,,
8,6/20/2024 19:00,31.676,110,,,,
9,6/20/2024 20:00,31.574,13,,,,
10,6/20/2024 21:00,31.574,0,,,,
11,6/20/2024 22:00,31.778,0,,,,
12,6/20/2024 23:00,31.778,0,,,,
13,6/21/2024 0:00,31.574,0,,,,
14,6/21/2024 1:00,31.37,0,,,,
15,6/21/2024 2:00,31.166,0,,,,
16,6/21/2024 3:00,31.064,0,,,,
17,6/21/2024 4:00,30.862,0,,,,
18,6/21/2024 5:00,30.76,0,,,,
19,6/21/2024 6:00,30.659,5,,,,
20,6/21/2024 7:00,30.457,14,,,,
21,6/21/2024 8:00,30.558,368,,,,
22,6/21/2024 9:00,30.76,144,,,,
23,6/21/2024 10:00,30.862,112,,,,
24,6/21/2024 11:00,30.862,152,,,,
25,6/21/2024 12:00,31.064,152,,,,
26,6/21/2024 13:00,31.37,384,,,,
27,6/21/2024 14:00,31.166,192,,,,
28,6/21/2024 15:00,31.37,512,,,,
29,6/21/2024 16:00,31.676,576,,,,
30,6/21/2024 17:00,31.676,480,,,,
31,6/21/2024 18:00,31.778,304,,,,
32,6/21/2024 19:00,31.676,78,,,,
33,6/21/2024 20:00,31.472,13,,,,
34,6/21/2024 21:00,31.778,0,,,,
35,6/21/2024 22:00,31.574,0,,,,
36,6/21/2024 23:00,31.37,0,,,,
37,6/22/2024 0:00,31.268,0,,,,
38,6/22/2024 1:00,31.064,0,,,,
39,6/22/2024 2:00,30.963,0,,,,
40,6/22/2024 3:00,30.76,0,,,,
41,6/22/2024 4:00,30.659,0,,,,
42,6/22/2024 5:00,30.558,0,,,,
43,6/22/2024 6:00,30.356,2,,,,
44,6/22/2024 7:00,30.255,28,,,,
45,6/22/2024 8:00,30.255,320,,,,
46,6/22/2024 9:00,30.457,336,,,,
47,6/22/2024 10:00,30.457,248,,,,
48,6/22/2024 11:00,30.76,512,,,,
49,6/22/2024 12:00,31.064,416,,,,
50,6/22/2024 13:00,31.268,224,,,,
51,6/22/2024 14:00,31.676,368,,,,
52,6/22/2024 15:00,31.676,176,,,,
53,6/22/2024 16:00,31.88,272,,,,
54,6/22/2024 17:00,32.086,136,,,,
55,6/22/2024 18:00,32.188,100,,,,
56,6/22/2024 19:00,32.188,39,,,,
57,6/22/2024 20:00,31.88,9,,,,
58,6/22/2024 21:00,31.676,0,,,,
59,6/22/2024 22:00,31.472,0,,,,
