Plot Title: 20443804_-_1.0_m_-_Bethel,,,,,,,
#,"Date Time, GMT-05:00","Temp, °C (LGR S/N: 20443804, SEN S/N: 20443804)","Intensity, lum/ft² (LGR S/N: 20443804, SEN S/N: 20443804)",Good Battery (LGR S/N: 20443804),Coupler Attached (LGR S/N: 20443804),Stopped (LGR S/N: 20443804),End Of File (LGR S/N: 20443804)
1,6/20/2024 12:00,29.452,110,Logged,,,
2,6/20/2024 13:00,29.152,69,,,,
3,6/20/2024 14:00,29.252,74,,,,
4,6/20/2024 15:00,29.152,77,,,,
5,6/20/2024 16:00,29.053,52,,,,
6,6/20/2024 17:00,29.053,59,,,,
7,6/20/2024 18:00,29.252,42,,,,
8,6/20/2024 19:00,28.853,18,,,,
9,6/20/2024 20:00,29.053,1,,,,
10,6/20/2024 21:00,28.953,0,,,,
11,6/20/2024 22:00,28.953,0,,,,
12,6/20/2024 23:00,28.953,0,,,,
13,6/21/2024 0:00,28.853,0,,,,
14,6/21/2024 1:00,28.953,0,,,,
15,6/21/2024 2:00,28.853,0,,,,
16,6/21/2024 3:00,28.853,0,,,,
17,6/21/2024 4:00,28.853,0,,,,
18,6/21/2024 5:00,28.853,0,,,,
19,6/21/2024 6:00,28.853,0,,,,
20,6/21/2024 7:00,28.853,2,,,,
21,6/21/2024 8:00,28.853,24,,,,
22,6/21/2024 9:00,28.853,76,,,,
23,6/21/2024 10:00,28.953,80,,,,
24,6/21/2024 11:00,28.953,38,,,,
25,6/21/2024 12:00,29.053,35,,,,
26,6/21/2024 13:00,28.953,82,,,,
27,6/21/2024 14:00,29.252,34,,,,
28,6/21/2024 15:00,29.053,64,,,,
29,6/21/2024 16:00,29.252,45,,,,
30,6/21/2024 17:00,28.953,45,,,,
31,6/21/2024 18:00,29.152,16,,,,
32,6/21/2024 19:00,29.152,7,,,,
33,6/21/2024 20:00,28.953,1,,,,
34,6/21/2024 21:00,28.953,0,,,,
35,6/21/2024 22:00,29.053,0,,,,
36,6/21/2024 23:00,29.053,0,,,,
37,6/22/2024 0:00,29.053,0,,,,
38,6/22/2024 1:00,28.953,0,,,,
39,6/22/2024 2:00,29.053,0,,,,
40,6/22/2024 3:00,29.053,0,,,,
41,6/22/2024 4:00,29.053,0,,,,
42,6/22/2024 5:00,29.152,0,,,,
43,6/22/2024 6:00,29.152,0,,,,
44,6/22/2024 7:00,28.953,3,,,,
45,6/22/2024 8:00,29.152,14,,,,
46,6/22/2024 9:00,29.352,29,,,,
47,6/22/2024 10:00,29.252,28,,,,
48,6/22/2024 11:00,29.452,69,,,,
49,6/22/2024 12:00,29.352,70,,,,
50,6/22/2024 13:00,29.152,44,,,,
51,6/22/2024 14:00,29.352,97,,,,
52,6/22/2024 15:00,29.352,42,,,,
53,6/22/2024 16:00,29.352,100,,,,
54,6/22/2024 17:00,29.352,75,,,,
55,6/22/2024 18:00,29.352,44,,,,
56,6/22/2024 19:00,29.252,13,,,,
57,6/22/2024 20:00,29.352,1,,,,
58,6/22/2024 21:00,29.252,0,,,,
59,6/22/2024 22:00,29.252,0,,,,
60,6/22/2024 23:00,29.252,0,,,,
61,6/23/2024 0:00,29.152,0,,,,
62,6/23/2024 1:00,29.252,0,,,,
63,6/23/2024 2:00,29.152,0,,,,
64,6/23/2024 3:00,29.252,0,,,,
65,6/23/2024 4:00,29.252,0,,,,
66,6/23/2024 5:00,29.152,0,,,,
67,6/23/2024 6:00,29.152,0,,,,
68,6/23/2024 7:00,29.252,5,,,,
69,6/23/2024 8:00,29.452,8,,,,
70,6/23/2024 9:00,29.452,23,,,,
71,6/23/2024 10:00,29.652,36,,,,
72,6/23/2024 11:00,29.452,47,,,,
73,6/23/2024 12:00,29.352,84,,,,
74,6/23/2024 13:00,29.652,83,,,,
75,6/23/2024 14:00,29.853,76,,,,
76,6/23/2024 15:00,29.552,102,,,,
77,6/23/2024 16:00,29.652,83,,,,
78,6/23/2024 17:00,29.652,81,,,,
79,6/23/2024 18:00,29.452,50,,,,
80,6/23/2024 19:00,29.652,21,,,,
81,6/23/2024 20:00,29.552,1,,,,
82,6/23/2024 21:00,29.652,0,,,,
83,6/23/2024 22:00,29.552,0,,,,
84,6/23/2024 23:00,29.452,0,,,,
85,6/24/2024 0:00,29.552,0,,,,
86,6/24/2024 1:00,29.452,0,,,,
87,6/24/2024 2:00,29.552,0,,,,
88,6/24/2024 3:00,29.452,0,,,,
89,6/24/2024 4:00,29.452,0,,,,
90,6/24/2024 5:00,29.452,0,,,,
91,6/24/2024 6:00,29.452,0,,,,
92,6/24/2024 7:00,29.452,6,,,,
93,6/24/2024 8:00,29.552,21,,,,
94,6/24/2024 9:00,29.552,38,,,,
95,6/24/2024 10:00,29.652,41,,,,
96,6/24/2024 11:00,29.652,60,,,,
97,6/24/2024 12:00,29.953,74,,,,
98,6/24/2024 13:00,29.752,94,,,,
99,6/24/2024 14:00,29.853,104,,,,
100,6/24/2024 15:00,29.853,115,,,,
101,6/24/2024 16:00,29.752,62,,,,
102,6/24/2024 17:00,29.652,42,,,,
103,6/24/2024 18:00,29.953,32,,,,
104,6/24/2024 19:00,29.752,16,,,,
105,6/24/2024 20:00,29.652,1,,,,
106,6/24/2024 21:00,29.752,0,,,,
107,6/24/2024 22:00,29.652,0,,,,
108,6/24/2024 23:00,29.752,0,,,,
109,6/25/2024 0:00,29.652,0,,,,
110,6/25/2024 1:00,29.652,0,,,,
111,6/25/2024 2:00,29.652,0,,,,
112,6/25/2024 3:00,29.652,0,,,,
113,6/25/2024 4:00,29.652,0,,,,
114,6/25/2024 5:00,29.652,0,,,,
115,6/25/2024 6:00,29.552,0,,,,
116,6/25/2024 7:00,29.652,13,,,,
117,6/25/2024 8:00,29.652,15,,,,
118,6/25/2024 9:00,29.652,42,,,,
119,6/25/2024 10:00,29.853,54,,,,
120,6/25/2024 11:00,29.652,61,,,,
121,6/25/2024 12:00,30.054,73,,,,
122,6/25/2024 13:00,30.054,57,,,,
123,6/25/2024 14:00,30.255,56,,,,
124,6/25/2024 15:00,30.054,20,,,,
125,6/25/2024 16:00,30.154,49,,,,
126,6/25/2024 17:00,29.853,9,,,,
127,6/25/2024 18:00,29.953,0,,,,
128,6/25/2024 19:00,29.452,0,,,,
129,6/25/2024 20:00,30.154,6,,,,
130,6/25/2024 21:00,30.255,0,,,,
131,6/25/2024 22:00,29.953,0,,,,
132,6/25/2024 23:00,30.054,0,,,,
133,6/26/2024 0:00,30.054,0,,,,
134,6/26/2024 1:00,29.953,0,,,,
135,6/26/2024 2:00,30.054,0,,,,
136,6/26/2024 3:00,30.154,0,,,,
137,6/26/2024 4:00,30.255,0,,,,
138,6/26/2024 5:00,29.652,0,,,,
139,6/26/2024 6:00,29.552,0,,,,
140,6/26/2024 7:00,29.352,0,,,,
141,6/26/2024 8:00,29.152,4,,,,
142,6/26/2024 9:00,29.152,8,,,,
143,6/26/2024 10:00,29.053,72,,,,
144,6/26/2024 11:00,29.252,51,,,,
145,6/26/2024 12:00,29.352,100,,,,
146,6/26/2024 13:00,29.252,79,,,,
147,6/26/2024 14:00,29.152,16,,,,
148,6/26/2024 15:00,29.452,30,,,,
149,6/26/2024 16:00,29.452,88,,,,
150,6/26/2024 17:00,29.252,68,,,,
151,6/26/2024 18:00,29.352,35,,,,
152,6/26/2024 19:00,29.252,13,,,,
153,6/26/2024 20:00,29.252,0,,,,
154,6/26/2024 21:00,29.352,0,,,,
155,6/26/2024 22:00,29.252,0,,,,
156,6/26/2024 23:00,29.252,0,,,,
157,6/27/2024 0:00,29.252,0,,,,
158,6/27/2024 1:00,29.252,0,,,,
159,6/27/2024 2:00,29.252,0,,,,
160,6/27/2024 3:00,29.252,0,,,,
161,6/27/2024 4:00,29.252,0,,,,
162,6/27/2024 5:00,29.252,0,,,,
163,6/27/2024 6:00,29.152,0,,,,
164,6/27/2024 7:00,29.053,9,,,,
165,6/27/2024 8:00,29.053,30,,,,
166,6/27/2024 9:00,29.152,46,,,,
167,6/27/2024 10:00,29.252,36,,,,
168,6/27/2024 11:00,29.252,45,,,,
169,6/27/2024 12:00,29.252,58,,,,
170,6/27/2024 13:00,29.352,72,,,,
171,6/27/2024 14:00,29.352,79,,,,
172,6/27/2024 15:00,29.452,91,,,,
173,6/27/2024 16:00,29.452,60,,,,
174,6/27/2024 17:00,29.452,32,,,,
175,6/27/2024 18:00,29.452,17,,,,
176,6/27/2024 19:00,29.352,2,,,,
177,6/27/2024 20:00,29.352,0,,,,
178,6/27/2024 21:00,29.352,0,,,,
179,6/27/2024 22:00,29.352,0,,,,
180,6/27/2024 23:00,29.352,0,,,,
181,6/28/2024 0:00,29.352,0,,,,
182,6/28/2024 1:00,29.252,0,,,,
183,6/28/2024 2:00,29.252,0,,,,
